"Date","Open","High","Low","Last","Volume","Turnover"
"2018-05-31",4.958,5.018,4.905,4.949,969484.0,4808258.826
"2018-05-30",5.078,5.11,5.04,5.11,612269.0,3117426.338
"2018-05-29",5.098,5.104,4.977,5.084,977020.0,4928317.812
"2018-05-28",5.22,5.258,5.126,5.144,408596.0,2120455.182
"2018-05-25",5.2,5.224,5.124,5.176,640834.0,3311543.118
"2018-05-24",5.166,5.24,5.152,5.152,511223.0,2647622.26
"2018-05-23",5.252,5.252,5.126,5.162,627517.0,3244381.942
"2018-05-22",5.29,5.29,5.19,5.288,876171.0,4604651.318
"2018-05-21",5.286,5.32,5.274,5.288,318042.0,1682546.332
"2018-05-18",5.226,5.338,5.226,5.276,744031.0,3933088.81
"2018-05-17",5.256,5.29,5.222,5.262,485227.0,2552594.758
"2018-05-16",5.256,5.292,5.218,5.254,487919.0,2561244.346
"2018-05-15",5.266,5.282,5.226,5.254,406471.0,2136267.606
"2018-05-14",5.218,5.316,5.136,5.286,918859.0,4788606.94
"2018-05-11",5.342,5.386,5.306,5.334,395436.0,2111314.886
"2018-05-10",5.3,5.36,5.296,5.35,901549.0,4811332.604
"2018-05-09",5.27,5.358,5.258,5.298,720150.0,3821720.744
"2018-05-08",5.23,5.292,5.188,5.26,685130.0,3594694.602
"2018-05-07",5.05,5.242,5.05,5.23,806313.0,4180081.406
"2018-05-04",4.904,5.088,4.9,5.086,1144145.0,5734455.119
"2018-05-03",4.858,4.928,4.849,4.85,340269.0,1659529.023
"2018-05-02",5.018,5.018,4.82,4.838,1037093.0,5094481.409
"2018-04-30",4.95,5.01,4.904,4.974,542952.0,2703255.726
"2018-04-27",4.881,5.014,4.837,4.949,794526.0,3940347.997
"2018-04-26",4.714,4.937,4.505,4.893,2849744.0,13353041.509
"2018-04-25",4.881,4.959,4.849,4.914,920500.0,4532011.699
"2018-04-24",4.853,4.897,4.839,4.87,269270.0,1312761.153
"2018-04-23",4.887,4.899,4.811,4.846,314965.0,1525271.842
"2018-04-20",4.908,4.984,4.852,4.882,1603440.0,7900789.318
"2018-04-19",4.751,4.782,4.723,4.767,494437.0,2351457.733
"2018-04-18",4.72,4.773,4.713,4.751,703621.0,3343212.856
"2018-04-17",4.554,4.777,4.536,4.753,1127193.0,5308165.741
"2018-04-16",4.524,4.55,4.496,4.52,288207.0,1300805.447
"2018-04-13",4.56,4.56,4.483,4.512,268938.0,1212482.974
"2018-04-12",4.546,4.573,4.52,4.53,382652.0,1740660.055
"2018-04-11",4.552,4.577,4.461,4.504,389174.0,1756308.489
"2018-04-10",4.459,4.503,4.458,4.485,226912.0,1018739.498
"2018-04-09",4.434,4.49,4.429,4.453,151680.0,674998.459
"2018-04-06",4.45,4.495,4.423,4.464,369435.0,1648181.381
"2018-04-05",4.467,4.506,4.461,4.481,418580.0,1876360.311
"2018-04-04",4.436,4.436,4.338,4.398,579725.0,2533503.103
"2018-04-03",4.425,4.455,4.405,4.445,387255.0,1717345.383
"2018-03-29",4.433,4.503,4.393,4.477,625710.0,2789937.87
"2018-03-28",4.403,4.452,4.356,4.434,710692.0,3134172.344
"2018-03-27",4.514,4.517,4.438,4.47,732853.0,3286968.992
"2018-03-26",4.48,4.513,4.399,4.416,898834.0,3749258.707
"2018-03-23",4.467,4.549,4.424,4.497,676269.0,3037829.112
"2018-03-22",4.645,4.645,4.479,4.537,1553177.0,7047750.365
"2018-03-21",4.665,4.686,4.62,4.651,445827.0,2074295.643
"2018-03-20",4.666,4.728,4.646,4.68,349988.0,1640696.355
"2018-03-19",4.68,4.71,4.64,4.664,705322.0,3289550.64
"2018-03-16",4.726,4.75,4.671,4.675,1327258.0,6238703.81
"2018-03-15",4.722,4.723,4.684,4.723,418777.0,1971375.981
"2018-03-14",4.78,4.78,4.704,4.709,774019.0,3666776.879
"2018-03-13",4.832,4.832,4.724,4.758,892230.0,4260951.528
"2018-03-12",4.824,4.842,4.793,4.821,513088.0,2472621.086
"2018-03-09",4.766,4.82,4.725,4.795,823498.0,3934945.012
"2018-03-08",4.776,4.827,4.74,4.779,742350.0,3550718.024
"2018-03-07",4.684,4.766,4.673,4.743,836123.0,3946543.184
"2018-03-06",4.762,4.774,4.698,4.708,723951.0,3427898.24
"2018-03-05",4.651,4.773,4.651,4.751,886802.0,4192332.527
"2018-03-02",4.713,4.74,4.622,4.653,1494881.0,6995437.105
"2018-03-01",4.78,4.825,4.724,4.756,1206402.0,5757099.152
"2018-02-28",4.818,4.863,4.776,4.786,1210100.0,5810050.221
"2018-02-27",4.811,4.856,4.783,4.849,1172992.0,5663058.496
"2018-02-26",4.742,4.88,4.742,4.79,1948766.0,9364527.204
"2018-02-23",4.65,4.681,4.644,4.678,737472.0,3440035.36
"2018-02-22",4.644,4.69,4.62,4.688,966282.0,4497686.722
"2018-02-21",4.648,4.698,4.635,4.686,752159.0,3510519.697
"2018-02-20",4.61,4.674,4.61,4.67,935913.0,4355716.72
